province,year,month,spi3,vhi,vci,tci,cdi,cdi_category
Badakhshan,2015,1,-0.71,48.99,62.23,35.75,36.5,Moderate drought
Badakhshan,2015,2,0.62,43.05,33.7,52.4,58.06,Normal
Badakhshan,2015,3,0.87,35.87,7.8,63.94,58.28,Normal
Badakhshan,2015,4,0.57,34.34,18.3,50.38,52.96,Normal
Badakhshan,2015,5,-0.16,50.0,0.0,100.0,46.89,Normal
Badakhshan,2015,6,-0.33,75.57,76.19,74.96,56.25,Normal
Badakhshan,2015,7,-0.03,100.0,100.0,100.0,74.44,Healthy
Badakhshan,2015,8,0.29,94.03,100.0,88.06,77.73,Healthy
Badakhshan,2015,9,1.36,100.0,100.0,100.0,95.69,Healthy
Badakhshan,2015,10,0.17,46.75,71.27,22.23,51.84,Normal
Badakhshan,2015,11,0.41,56.8,28.53,85.06,61.32,Healthy
Badakhshan,2015,12,0.21,45.2,29.92,60.48,51.85,Normal
Badakhshan,2016,1,0.03,40.78,63.76,17.81,45.98,Normal
Badakhshan,2016,2,-1.57,36.86,71.57,2.15,21.34,Severe drought
Badakhshan,2016,3,-0.38,65.23,86.23,44.24,50.15,Normal
Badakhshan,2016,4,0.01,50.34,50.35,50.32,50.47,Normal
Badakhshan,2016,5,0.93,60.13,59.18,61.09,71.32,Healthy
Badakhshan,2016,6,0.52,54.8,100.0,9.6,62.28,Healthy
Badakhshan,2016,7,0.43,49.82,43.38,56.26,58.29,Normal
Badakhshan,2016,8,0.27,63.07,26.15,100.0,61.91,Healthy
Badakhshan,2016,9,0.48,41.25,64.03,18.46,54.93,Normal
Badakhshan,2016,10,-0.55,56.94,88.04,25.84,42.96,Normal
Badakhshan,2016,11,0.15,47.91,42.94,52.87,51.87,Normal
Badakhshan,2016,12,0.19,45.16,86.21,4.1,51.34,Normal
Badakhshan,2017,1,0.72,57.7,33.16,82.23,67.04,Healthy
Badakhshan,2017,2,1.03,53.74,15.85,91.62,69.27,Healthy
Badakhshan,2017,3,0.81,62.84,25.68,100.0,70.97,Healthy
Badakhshan,2017,4,0.38,47.95,0.0,95.9,56.3,Normal
Badakhshan,2017,5,-0.44,36.79,24.31,49.27,34.92,Moderate drought
Badakhshan,2017,6,-0.43,54.11,97.16,11.06,43.66,Normal
Badakhshan,2017,7,-0.48,50.29,69.66,30.92,40.84,Normal
Badakhshan,2017,8,-0.24,39.17,43.43,34.91,39.85,Moderate drought
Badakhshan,2017,9,0.3,62.55,41.81,83.28,62.14,Healthy
Badakhshan,2017,10,-0.73,50.0,100.0,0.0,36.63,Moderate drought
Badakhshan,2017,11,-1.16,50.0,100.0,0.0,31.17,Moderate drought
Badakhshan,2017,12,-1.21,54.23,60.96,47.5,32.81,Moderate drought
Badakhshan,2018,1,-1.86,50.0,100.0,0.0,26.59,Moderate drought
Badakhshan,2018,2,-1.3,64.02,93.85,34.18,36.82,Moderate drought
Badakhshan,2018,3,-0.58,35.33,49.18,21.47,31.78,Moderate drought
Badakhshan,2018,4,-0.36,51.43,52.2,50.67,43.61,Normal
Badakhshan,2018,5,0.87,56.49,13.46,99.52,68.63,Healthy
Badakhshan,2018,6,0.59,40.7,68.56,12.83,56.5,Normal
Badakhshan,2018,7,1.18,31.52,47.87,15.17,59.8,Normal
Badakhshan,2018,8,-0.92,18.42,27.58,9.26,18.19,Severe drought
Badakhshan,2018,9,-0.08,46.86,32.05,61.67,46.82,Normal
Badakhshan,2018,10,2.16,50.0,0.0,100.0,74.22,Healthy
Badakhshan,2018,11,1.31,63.54,27.07,100.0,77.0,Healthy
Badakhshan,2018,12,0.84,47.6,39.47,55.73,63.77,Healthy
Badakhshan,2019,1,1.04,50.0,0.0,100.0,67.58,Healthy
Badakhshan,2019,2,0.87,50.0,0.0,100.0,65.37,Healthy
Badakhshan,2019,3,0.82,33.58,0.0,67.15,56.42,Normal
Badakhshan,2019,4,0.75,58.09,57.02,59.16,67.74,Healthy
Badakhshan,2019,5,0.27,44.42,26.07,62.77,52.46,Normal
Badakhshan,2019,6,1.23,50.0,0.0,100.0,69.56,Healthy
Badakhshan,2019,7,0.73,55.51,72.4,38.62,66.05,Healthy
Badakhshan,2019,8,2.43,55.53,57.39,53.67,77.39,Healthy
Badakhshan,2019,9,-0.69,55.28,75.7,34.86,39.86,Moderate drought
Badakhshan,2019,10,0.56,60.5,97.56,23.45,65.93,Healthy
Badakhshan,2019,11,0.85,63.96,45.89,82.04,72.15,Healthy
Badakhshan,2019,12,0.26,47.1,54.37,39.82,53.65,Normal
