province,scenario,n_historical_months_in_pool,p10_risk,p50_risk,p90_risk,mean_risk,prob_over_threshold
Badakhshan,driest_tercile,29,0.02344552751837889,0.4632896117143029,0.9544734538815167,0.48923204775821105,0.4486
Badakhshan,all_months,86,0.0012680999151568305,0.04086840467384366,0.8945090368350526,0.22843272714768473,0.202
Badakhshan,wettest_tercile,29,0.0005926629159857984,0.00438023730615107,0.01819377420483396,0.008446257165691137,0.0
Badghis,driest_tercile,28,0.03175604412478164,0.7740486552698295,0.9603194715063186,0.5706477926785339,0.6446
Badghis,all_months,84,0.0009476044416750105,0.054341988450583995,0.9272354670211858,0.2651097684515833,0.2612
Badghis,wettest_tercile,30,0.00039001441551835084,0.003709195684341749,0.07839137375386603,0.025620329226413083,0.0
Baghlan,driest_tercile,28,0.005958547611635892,0.19675298097304406,0.8696468013598276,0.3701939227241448,0.385
Baghlan,all_months,83,0.0016603475343784431,0.027960959413620538,0.8362009923578322,0.2153511368546329,0.188
Baghlan,wettest_tercile,28,0.00038654030084670323,0.003486543274347729,0.06497277939534331,0.05314161093776183,0.0402
Balkh,driest_tercile,28,0.05438863635523695,0.7103707619227122,0.9696763740679328,0.6222455805220066,0.6794
Balkh,all_months,83,0.001804241069587905,0.13779995260072445,0.9233316760016683,0.3301895353458459,0.3192
Balkh,wettest_tercile,31,0.0003932370467324916,0.026665521959249348,0.31797768272706856,0.11681546627071898,0.09
Bamyan,driest_tercile,28,0.016207677276388156,0.6201641126684092,0.9478001129207431,0.5201602954894073,0.5398
Bamyan,all_months,83,0.0015956338685965707,0.09692510544881304,0.8935084624364706,0.2663388072146032,0.2198
Bamyan,wettest_tercile,28,0.0010393204431332753,0.006763647179073454,0.3496688782426401,0.09043597798614288,0.0676
Daykundi,driest_tercile,28,0.008637645873047722,0.4487405126587568,0.9460183174769222,0.4475039544145222,0.469
Daykundi,all_months,83,0.0013098388401940578,0.0628148720805,0.8097939281816637,0.21493542460017162,0.1828
Daykundi,wettest_tercile,28,0.0004954505274855218,0.009743497631293393,0.3088151919289479,0.05772852718902227,0.0384
Farah,driest_tercile,29,0.045055875994973904,0.4084799598117733,0.9755362865615443,0.4667590932748116,0.4482
Farah,all_months,86,0.004819392094637955,0.08679171341256696,0.7301507561633991,0.23937731705365792,0.1966
Farah,wettest_tercile,29,0.0019459396610649262,0.011713646601492269,0.12941255879688396,0.03960745147627225,0.0
Faryab,driest_tercile,28,0.012162690788593066,0.5280414183642144,0.9689644377629325,0.5157792437103537,0.5164
Faryab,all_months,83,0.0008968214252762873,0.05493668573665885,0.9397614707621137,0.2699919700560781,0.2576
Faryab,wettest_tercile,28,0.00027464537230447193,0.0029560426065881763,0.2349957417557472,0.06461552735453951,0.0384
Ghazni,driest_tercile,28,0.03669547748403103,0.6460710726819757,0.9717595618665286,0.5418824478381877,0.5058
Ghazni,all_months,83,0.0027810097292829653,0.06645365435513903,0.8862764644535868,0.27674767277723833,0.2302
Ghazni,wettest_tercile,28,0.0018989138123313742,0.0070247124136911645,0.12798094310792182,0.0521639051034348,0.035
Ghor,driest_tercile,28,0.03024961381265684,0.6252572376348308,0.9529890497705572,0.538099620032211,0.5266
Ghor,all_months,83,0.0017470536690798724,0.16990058538974817,0.914305006602606,0.32636527530715775,0.2962
Ghor,wettest_tercile,28,0.0012855060209141468,0.0062281495806093485,0.2976764552310448,0.09375697095896567,0.0698
Hilmand,driest_tercile,28,0.1683031946452813,0.5460832455708354,0.9493725726955502,0.5559972639803956,0.5068
Hilmand,all_months,83,0.0019046589947612352,0.16216219949770597,0.8528173401069676,0.2879878496823374,0.221
Hilmand,wettest_tercile,28,0.0003681048169398177,0.012201874886008705,0.07391721937002121,0.02567557988530931,0.0
Hirat,driest_tercile,29,0.0896748557673686,0.7102904740939042,0.9127008308793377,0.5756865685156097,0.6572
Hirat,all_months,86,0.001134679856105685,0.10389459510697263,0.8692055839026653,0.2853230079352929,0.2764
Hirat,wettest_tercile,29,0.00027045932057504835,0.005542173507047498,0.04339288080846397,0.02386852271004157,0.0
Jawzjan,driest_tercile,28,0.04334082388216055,0.8824515974769352,0.9806725747823991,0.6564043147262436,0.6702
Jawzjan,all_months,83,0.0014392828919145581,0.1301530437153243,0.948189032432198,0.3482414323328549,0.3108
Jawzjan,wettest_tercile,29,8.720289561709253e-05,0.006385801366874853,0.13275205197392984,0.07938722691964449,0.064
Kabul,driest_tercile,27,0.008030379766480864,0.33556686449240863,0.9177748058951648,0.3686508958597569,0.2982
Kabul,all_months,82,0.0006859751521743908,0.030404812261872794,0.6415106715065615,0.16953200235860003,0.1208
Kabul,wettest_tercile,28,0.00032420474784152425,0.0026134790422460705,0.06630603830177166,0.05193333209330659,0.0406
Kandahar,driest_tercile,28,0.11711306638021642,0.5140567973703639,0.9483768480823299,0.5360451140856956,0.5332
Kandahar,all_months,83,0.0030951679878614496,0.14976783952114556,0.8261245884340066,0.2608629887940104,0.2054
