province,year,month,vci,tci,vhi
Khost,2015,1,61.67,26.35,44.01
Paktika,2015,1,85.45,8.97,47.21
Daykundi,2015,1,67.24,40.04,53.64
Panjsher,2015,1,63.5,48.02,55.76
Parwan,2015,1,78.27,40.71,59.49
Uruzgan,2015,1,85.96,20.36,53.16
Badakhshan,2015,1,62.23,35.75,48.99
Badghis,2015,1,36.47,55.53,46.0
Baghlan,2015,1,34.06,43.27,38.66
Balkh,2015,1,35.85,67.96,51.9
Bamyan,2015,1,56.26,45.29,50.77
Farah,2015,1,35.46,14.49,24.97
Faryab,2015,1,46.08,42.48,44.28
Ghazni,2015,1,100.0,10.57,55.29
Ghor,2015,1,52.61,44.7,48.65
Hilmand,2015,1,30.77,10.84,20.81
Hirat,2015,1,33.99,28.66,31.32
Jawzjan,2015,1,54.71,37.33,46.02
Kabul,2015,1,78.03,32.13,55.08
Kandahar,2015,1,22.73,11.28,17.01
Kapisa,2015,1,64.84,34.98,49.91
Kunar,2015,1,84.42,32.04,58.23
Kunduz,2015,1,49.42,31.4,40.41
Laghman,2015,1,49.56,31.72,40.64
Logar,2015,1,94.38,21.17,57.77
Nangarhar,2015,1,39.74,28.63,34.19
Nimroz,2015,1,62.04,0.0,31.02
Nuristan,2015,1,89.92,35.57,62.75
Paktya,2015,1,96.21,19.94,58.08
Samangan,2015,1,83.92,44.86,64.39
Sar-e-Pul,2015,1,54.01,52.73,53.37
Takhar,2015,1,23.3,40.03,31.67
Wardak,2015,1,65.52,43.36,54.44
Zabul,2015,1,89.12,9.54,49.33
Khost,2015,2,63.21,68.07,65.64
Paktika,2015,2,77.53,47.83,62.68
Daykundi,2015,2,45.39,61.57,53.48
Panjsher,2015,2,29.75,73.42,51.58
Parwan,2015,2,47.79,68.63,58.21
Uruzgan,2015,2,34.58,68.17,51.38
Badakhshan,2015,2,33.7,52.4,43.05
Badghis,2015,2,74.8,78.41,76.6
Baghlan,2015,2,34.43,85.48,59.95
Balkh,2015,2,80.17,64.95,72.56
Bamyan,2015,2,44.5,52.24,48.37
Farah,2015,2,0.0,60.28,30.14
Faryab,2015,2,69.18,77.56,73.37
Ghazni,2015,2,63.23,47.04,55.13
Ghor,2015,2,27.85,68.5,48.17
Hilmand,2015,2,0.0,59.84,29.92
Hirat,2015,2,37.77,67.73,52.75
Jawzjan,2015,2,87.12,75.98,81.55
Kabul,2015,2,52.54,62.39,57.46
Kandahar,2015,2,1.44,55.38,28.41
Kapisa,2015,2,47.3,71.29,59.3
Kunar,2015,2,23.2,75.62,49.41
Kunduz,2015,2,64.4,59.76,62.08
Laghman,2015,2,21.28,81.26,51.27
Logar,2015,2,66.99,47.16,57.08
Nangarhar,2015,2,26.31,73.12,49.71
Nimroz,2015,2,4.62,68.64,36.63
Nuristan,2015,2,29.06,71.14,50.1
Paktya,2015,2,50.12,57.14,53.63
Samangan,2015,2,42.39,68.34,55.36
Sar-e-Pul,2015,2,82.16,60.9,71.53
Takhar,2015,2,28.01,67.61,47.81
Wardak,2015,2,50.6,51.99,51.29
Zabul,2015,2,71.67,48.66,60.16
Khost,2015,3,71.03,98.78,84.9
Paktika,2015,3,66.83,69.62,68.23
Daykundi,2015,3,64.31,73.58,68.95
Panjsher,2015,3,0.0,100.0,50.0
Parwan,2015,3,42.75,95.88,69.31
Uruzgan,2015,3,30.86,70.7,50.78
Badakhshan,2015,3,7.8,63.94,35.87
Badghis,2015,3,66.67,100.0,83.34
Baghlan,2015,3,19.11,100.0,59.55
Balkh,2015,3,69.88,100.0,84.94
Bamyan,2015,3,17.64,90.8,54.22
Farah,2015,3,31.12,100.0,65.56
Faryab,2015,3,75.23,100.0,87.62
Ghazni,2015,3,67.11,55.66,61.38
Ghor,2015,3,45.54,83.2,64.37
Hilmand,2015,3,0.0,100.0,50.0
