province,year,month,lst_day_c
Khost,2015,1,12.917163739704085
Paktika,2015,1,14.171437649047249
Daykundi,2015,1,1.5963711547546255
Panjsher,2015,1,-10.16655537106174
Parwan,2015,1,0.17823997131470784
Uruzgan,2015,1,9.2860806108649
Badakhshan,2015,1,-11.651921909897034
Badghis,2015,1,6.297271954819214
Baghlan,2015,1,1.4878303708453704
Balkh,2015,1,9.530380900232146
Bamyan,2015,1,-5.754069284902675
Farah,2015,1,18.231166835067505
Faryab,2015,1,7.710156432343446
Ghazni,2015,1,5.791588620816608
Ghor,2015,1,-0.3431241242672588
Hilmand,2015,1,21.45397194827394
Hirat,2015,1,13.058068463271416
Jawzjan,2015,1,10.635443500693256
Kabul,2015,1,6.561700033015932
Kandahar,2015,1,20.945363725732054
Kapisa,2015,1,4.4115785668791325
Kunar,2015,1,5.96373813911221
Kunduz,2015,1,10.500293457473541
Laghman,2015,1,8.40849512317415
Logar,2015,1,6.418195523153552
Nangarhar,2015,1,11.537018115145647
Nimroz,2015,1,24.21585259520145
Nuristan,2015,1,-8.136271281408495
Paktya,2015,1,7.941512064699816
Samangan,2015,1,2.976870880326279
Sar-e-Pul,2015,1,0.6235747992124053
Takhar,2015,1,0.8794005023689501
Wardak,2015,1,-1.9655116116717655
Zabul,2015,1,14.207988358244267
Khost,2015,2,13.838686192113578
Paktika,2015,2,15.12256352935273
Daykundi,2015,2,3.728357483061602
Panjsher,2015,2,-7.54242830294452
Parwan,2015,2,1.184512102982868
Uruzgan,2015,2,9.683595410569874
Badakhshan,2015,2,-8.127134677938686
Badghis,2015,2,7.389722942898915
Baghlan,2015,2,2.865995633379153
Balkh,2015,2,14.541636548280177
Bamyan,2015,2,-2.596966764436966
Farah,2015,2,19.938747466581223
Faryab,2015,2,9.649955681531205
Ghazni,2015,2,5.223962468212284
Ghor,2015,2,0.3334268420347801
Hilmand,2015,2,24.383858078955647
Hirat,2015,2,14.243951549677465
Jawzjan,2015,2,15.489062918139
Kabul,2015,2,8.617628172938819
Kandahar,2015,2,24.3927860173188
Kapisa,2015,2,6.465455777817918
Kunar,2015,2,6.883663913622305
Kunduz,2015,2,14.306000201130114
Laghman,2015,2,9.590212561260454
Logar,2015,2,7.539389046205332
Nangarhar,2015,2,13.15089346085467
Nimroz,2015,2,27.406786462106815
Nuristan,2015,2,-5.968584798234528
Paktya,2015,2,6.760217095516368
Samangan,2015,2,5.0210102627018545
Sar-e-Pul,2015,2,3.86943837609726
Takhar,2015,2,4.038207431757063
Wardak,2015,2,-0.22146856967493417
Zabul,2015,2,15.611192006419614
Khost,2015,3,19.64418516531426
Paktika,2015,3,21.995490823680388
Daykundi,2015,3,12.518215004171669
Panjsher,2015,3,-1.969774639959447
Parwan,2015,3,7.9966474322889525
Uruzgan,2015,3,18.039176315707866
Badakhshan,2015,3,0.11913865030859142
Badghis,2015,3,15.366712794543538
Baghlan,2015,3,11.212629586461585
Balkh,2015,3,21.88090977938284
Bamyan,2015,3,4.008816608756742
Farah,2015,3,25.633348064023885
Faryab,2015,3,16.827969082111373
Ghazni,2015,3,13.702524668538898
Ghor,2015,3,8.78849553589885
Hilmand,2015,3,30.573845276627733
Hirat,2015,3,20.65939179579428
Jawzjan,2015,3,21.604851159674315
Kabul,2015,3,15.42020376021607
Kandahar,2015,3,30.80897740383692
Kapisa,2015,3,12.073842946283513
Kunar,2015,3,12.76812468334594
Kunduz,2015,3,23.74566520166386
Laghman,2015,3,16.19153354088045
Logar,2015,3,13.667981245145086
Nangarhar,2015,3,19.038649880026604
Nimroz,2015,3,32.58589495208928
Nuristan,2015,3,-0.23674255451520884
Paktya,2015,3,13.389590611894675
Samangan,2015,3,13.62944360866985
Sar-e-Pul,2015,3,10.661777941954798
Takhar,2015,3,13.045600453247166
Wardak,2015,3,6.162640599280885
Zabul,2015,3,23.186972436869624
Khost,2015,4,30.825168494684547
Paktika,2015,4,35.78672306950696
Daykundi,2015,4,24.301573068279758
Panjsher,2015,4,7.861745524957519
Parwan,2015,4,21.330092973165474
Uruzgan,2015,4,29.33729617810253
Badakhshan,2015,4,8.602700853814016
Badghis,2015,4,27.84846594809998
Baghlan,2015,4,20.964655012368727
Balkh,2015,4,32.77504023742419
Bamyan,2015,4,15.948679744680495
Farah,2015,4,38.330035787241
Faryab,2015,4,29.857694889761984
Ghazni,2015,4,28.242276944813227
Ghor,2015,4,22.739172107407924
Hilmand,2015,4,42.98726984448095
Hirat,2015,4,33.62232541073361
Jawzjan,2015,4,34.08211248103841
Kabul,2015,4,27.831197204530792
Kandahar,2015,4,42.981810654970296
Kapisa,2015,4,23.77726771731324
Kunar,2015,4,23.17678516200138
Kunduz,2015,4,32.48468470356296
Laghman,2015,4,26.703670484259835
Logar,2015,4,28.34893055132676
Nangarhar,2015,4,29.624718453809308
Nimroz,2015,4,46.18916250518064
Nuristan,2015,4,9.285311102809375
Paktya,2015,4,28.827498518691264
Samangan,2015,4,24.439850631170692
Sar-e-Pul,2015,4,23.184808246499884
Takhar,2015,4,21.30511144130504
Wardak,2015,4,22.220101693004274
Zabul,2015,4,36.096233285092985
Khost,2015,5,35.49494893946504
Paktika,2015,5,40.58285399334548
Daykundi,2015,5,31.356677800469374
Panjsher,2015,5,13.906069743784245
Parwan,2015,5,26.20073789615735
Uruzgan,2015,5,36.6593760157116
Badakhshan,2015,5,13.157271331656156
Badghis,2015,5,38.437648725117924
Baghlan,2015,5,24.962391160910453
Balkh,2015,5,40.60021016386427
Bamyan,2015,5,24.69915576647678
Farah,2015,5,44.85551804784458
Faryab,2015,5,39.30195602127726
Ghazni,2015,5,33.38013578037032
Ghor,2015,5,30.161940391862622
Hilmand,2015,5,49.53396886360265
Hirat,2015,5,40.82268558165228
Jawzjan,2015,5,44.534879813625544
Kabul,2015,5,32.34931493157965
Kandahar,2015,5,49.24096421906482
Kapisa,2015,5,28.86164310262022
Kunar,2015,5,27.406965507685065
Kunduz,2015,5,40.43397422810078
Laghman,2015,5,32.30841128912017
Logar,2015,5,33.00997510746963
Nangarhar,2015,5,35.999756196438085
Nimroz,2015,5,51.32037722976975
Nuristan,2015,5,13.987385457196151
Paktya,2015,5,32.72785312407098
Samangan,2015,5,28.99229305875025
Sar-e-Pul,2015,5,30.142005072430766
Takhar,2015,5,24.46842965197072
Wardak,2015,5,27.743079894480097
Zabul,2015,5,41.745635336197786
Khost,2015,6,36.09457597274135
Paktika,2015,6,43.82072732446205
Daykundi,2015,6,38.931047944911576
Panjsher,2015,6,21.857286850574017
Parwan,2015,6,33.79469085600813
Uruzgan,2015,6,41.762693115824426
Badakhshan,2015,6,18.89140326718628
Badghis,2015,6,46.050626052645406
Baghlan,2015,6,34.159844130772655
Balkh,2015,6,50.103742293910216
Bamyan,2015,6,34.07362939210113
Farah,2015,6,49.08886423892709
Faryab,2015,6,48.40689222526994
Ghazni,2015,6,39.90734749416585
Ghor,2015,6,38.42649979255548
Hilmand,2015,6,52.359881521410664
Hirat,2015,6,44.90317053926952
Jawzjan,2015,6,54.38914685374445
Kabul,2015,6,38.69691911496174
Kandahar,2015,6,51.66485842725355
Kapisa,2015,6,35.366760551027376
Kunar,2015,6,31.29007848722994
Kunduz,2015,6,49.16625481143483
Laghman,2015,6,36.82804706829294
Logar,2015,6,39.09112599535104
Nangarhar,2015,6,40.17191625940615
Nimroz,2015,6,53.8771459999762
Nuristan,2015,6,21.38741111284952
Paktya,2015,6,37.298087640642116
Samangan,2015,6,39.88074153324628
Sar-e-Pul,2015,6,40.03072361655832
Takhar,2015,6,33.35152560720233
Wardak,2015,6,36.00879227715975
Zabul,2015,6,45.66169317294067
Khost,2015,7,33.907971203636556
Paktika,2015,7,41.47194985673191
Daykundi,2015,7,40.05137463036977
Panjsher,2015,7,25.854696217279134
Parwan,2015,7,35.85775832843193
Uruzgan,2015,7,41.65958070236162
Badakhshan,2015,7,24.30319319278108
Badghis,2015,7,45.812161004086526
Baghlan,2015,7,36.52357302928301
Balkh,2015,7,48.78934057602617
Bamyan,2015,7,35.89150079616034
Farah,2015,7,47.575614354863205
Faryab,2015,7,48.353760934058094
Ghazni,2015,7,40.03969019971955
Ghor,2015,7,40.008284014512064
Hilmand,2015,7,49.09613695715618
Hirat,2015,7,43.569988442501206
Jawzjan,2015,7,52.187061449841124
Kabul,2015,7,39.205428113869836
Kandahar,2015,7,49.6198153617803
Kapisa,2015,7,34.405180587676234
Kunar,2015,7,29.380175655124027
Kunduz,2015,7,47.026035957596214
Laghman,2015,7,33.72424291941745
Logar,2015,7,39.76574713715626
Nangarhar,2015,7,37.124516313751485
Nimroz,2015,7,50.6637014128811
Nuristan,2015,7,22.52242277139224
Paktya,2015,7,36.252280272873364
Samangan,2015,7,41.66007628499954
Sar-e-Pul,2015,7,41.32163710195968
Takhar,2015,7,35.697324102132384
Wardak,2015,7,37.573564587415675
Zabul,2015,7,44.42385003005815
Khost,2015,8,31.74259391327943
Paktika,2015,8,42.617766280827865
Daykundi,2015,8,38.578645101477875
Panjsher,2015,8,26.741926760228953
Parwan,2015,8,34.80439949416606
Uruzgan,2015,8,40.76752006291014
Badakhshan,2015,8,24.984674203796352
Badghis,2015,8,43.107009232924966
Baghlan,2015,8,34.89266705001284
Balkh,2015,8,45.69186054024659
Bamyan,2015,8,34.27679655689547
Farah,2015,8,45.904177585099916
Faryab,2015,8,45.32583813223299
Ghazni,2015,8,38.97920004321224
Ghor,2015,8,38.91672424568949
Hilmand,2015,8,48.48124189748716
Hirat,2015,8,41.95658505284743
Jawzjan,2015,8,49.40281331458861
Kabul,2015,8,37.80159282471323
Kandahar,2015,8,49.113298117492874
Kapisa,2015,8,33.80451010228307
Kunar,2015,8,27.050030607142467
Kunduz,2015,8,43.92099768398881
Laghman,2015,8,32.3531466582241
Logar,2015,8,38.81702648715645
Nangarhar,2015,8,34.16041090874953
Nimroz,2015,8,49.43238353727872
Nuristan,2015,8,22.67232425531546
Paktya,2015,8,35.766221256339044
Samangan,2015,8,38.967126793271746
Sar-e-Pul,2015,8,38.859905727933196
Takhar,2015,8,34.559929059505734
Wardak,2015,8,36.6839568421089
Zabul,2015,8,43.56301627109571
Khost,2015,9,31.137267304948846
Paktika,2015,9,37.764841508266365
Daykundi,2015,9,33.017726317138695
Panjsher,2015,9,21.67943324954242
Parwan,2015,9,29.34297911199309
Uruzgan,2015,9,34.88549290882906
Badakhshan,2015,9,19.785776548467894
Badghis,2015,9,37.64132801688013
Baghlan,2015,9,29.22840337241453
Balkh,2015,9,40.18151075901608
Bamyan,2015,9,28.73867855494304
Farah,2015,9,41.2233223414549
Faryab,2015,9,39.35757858307783
Ghazni,2015,9,33.6267428233393
Ghor,2015,9,33.764463636189184
Hilmand,2015,9,43.84579199635064
Hirat,2015,9,37.6833655123384
Jawzjan,2015,9,43.38256814792401
Kabul,2015,9,32.87011781627487
Kandahar,2015,9,45.163995755945244
Kapisa,2015,9,29.906106423090154
Kunar,2015,9,24.971888974946882
Kunduz,2015,9,38.97370006595487
Laghman,2015,9,30.346041039544485
Logar,2015,9,33.311675507268724
Nangarhar,2015,9,32.6584484960645
Nimroz,2015,9,45.84357719836152
Nuristan,2015,9,18.255947815233878
Paktya,2015,9,30.926308142654676
Samangan,2015,9,33.15602229426021
Sar-e-Pul,2015,9,32.954121377798096
Takhar,2015,9,29.575529008635492
Wardak,2015,9,30.784688672457627
Zabul,2015,9,38.89062164614744
Khost,2015,10,26.115659824047064
Paktika,2015,10,31.298664962932502
Daykundi,2015,10,23.44985436887208
Panjsher,2015,10,12.953499229709923
Parwan,2015,10,22.104279083445377
Uruzgan,2015,10,26.69720116687817
Badakhshan,2015,10,11.284359203188219
Badghis,2015,10,28.186588102259815
Baghlan,2015,10,22.450998330935356
Balkh,2015,10,29.656343792261012
Bamyan,2015,10,19.44561576176914
Farah,2015,10,35.893656625821954
Faryab,2015,10,29.12617075871171
Ghazni,2015,10,25.403423667624537
Ghor,2015,10,23.603979779708915
Hilmand,2015,10,39.740010075447486
Hirat,2015,10,31.588219772165314
Jawzjan,2015,10,30.39696261347881
Kabul,2015,10,24.552998055935273
Kandahar,2015,10,39.64128088361049
Kapisa,2015,10,22.490191697008694
Kunar,2015,10,20.027421406943034
Kunduz,2015,10,29.69030086229837
Laghman,2015,10,23.82362590937951
Logar,2015,10,25.093693073956604
Nangarhar,2015,10,26.43880549899468
Nimroz,2015,10,42.25921310492099
Nuristan,2015,10,10.657183101623033
Paktya,2015,10,24.75932900515681
Samangan,2015,10,25.823687379220623
Sar-e-Pul,2015,10,24.505558739812024
Takhar,2015,10,22.182016609728656
Wardak,2015,10,21.93766361077886
Zabul,2015,10,32.48306253938435
Khost,2015,11,18.242533387493065
Paktika,2015,11,17.8583274436394
Daykundi,2015,11,10.660326798984432
Panjsher,2015,11,-2.6143839373085225
Parwan,2015,11,6.917912863644607
Uruzgan,2015,11,14.381554652599608
Badakhshan,2015,11,-3.8512023284677754
Badghis,2015,11,14.941868647282151
Baghlan,2015,11,9.55858046077441
Balkh,2015,11,15.663010095013878
Bamyan,2015,11,4.134399687161326
Farah,2015,11,23.22967809101212
Faryab,2015,11,14.536765709458665
Ghazni,2015,11,11.281125668598857
Ghor,2015,11,8.988672841817882
Hilmand,2015,11,27.516363641743773
Hirat,2015,11,18.53623728566035
Jawzjan,2015,11,16.751225834262133
Kabul,2015,11,11.825519741064978
Kandahar,2015,11,26.55918644790734
Kapisa,2015,11,10.579349561927883
Kunar,2015,11,10.929538229550138
Kunduz,2015,11,16.850482967610855
Laghman,2015,11,13.876136665030566
Logar,2015,11,11.517309705887504
Nangarhar,2015,11,17.157404333788346
Nimroz,2015,11,30.00117919006632
Nuristan,2015,11,-2.449535006435024
Paktya,2015,11,12.956476321058107
Samangan,2015,11,11.431225951798247
Sar-e-Pul,2015,11,9.225155336126765
Takhar,2015,11,8.764436475884619
Wardak,2015,11,5.415380886053798
Zabul,2015,11,18.401913727126693
Khost,2015,12,14.774867246419639
Paktika,2015,12,13.414199592436397
Daykundi,2015,12,4.024116064352905
Panjsher,2015,12,-5.357130472141841
Parwan,2015,12,3.9589523053928537
Uruzgan,2015,12,8.643979375745191
Badakhshan,2015,12,-10.08229170263035
Badghis,2015,12,6.743287940409622
Baghlan,2015,12,2.334015619402671
Balkh,2015,12,9.104277518471132
Bamyan,2015,12,-3.569430771442299
Farah,2015,12,16.630209551808075
Faryab,2015,12,7.277929069213342
Ghazni,2015,12,4.151983564267293
Ghor,2015,12,2.329325233744074
Hilmand,2015,12,20.152087911800706
Hirat,2015,12,12.272098020660332
Jawzjan,2015,12,10.989691160813921
Kabul,2015,12,9.02772186823893
Kandahar,2015,12,19.752614623311068
Kapisa,2015,12,7.946124185533249
Kunar,2015,12,8.494810999654751
Kunduz,2015,12,9.690649900671694
Laghman,2015,12,11.16006647285558
Logar,2015,12,7.818361522505282
Nangarhar,2015,12,13.571663721257197
Nimroz,2015,12,22.39053642373831
Nuristan,2015,12,-4.717174490609104
Paktya,2015,12,9.682744309039883
Samangan,2015,12,2.7989460732514755
Sar-e-Pul,2015,12,1.913605374462123
Takhar,2015,12,0.8989570879983406
Wardak,2015,12,0.19380190534857286
Zabul,2015,12,13.168667458863718
Khost,2016,1,13.192778318020295
Paktika,2016,1,12.951454961046878
Daykundi,2016,1,0.7583917943971699
Panjsher,2016,1,-7.9284891750820385
Parwan,2016,1,0.4265013992981494
Uruzgan,2016,1,7.833847132479252
Badakhshan,2016,1,-10.49115028626543
Badghis,2016,1,8.371347254275102
Baghlan,2016,1,2.853840939426482
Balkh,2016,1,11.070668908199801
Bamyan,2016,1,-7.136507409436152
Farah,2016,1,17.42653025094883
Faryab,2016,1,8.932168788684155
Ghazni,2016,1,2.510625834853408
Ghor,2016,1,-2.861183252868219
Hilmand,2016,1,21.82046697566736
Hirat,2016,1,13.4632939612113
Jawzjan,2016,1,12.404916790287317
Kabul,2016,1,7.193006530093381
Kandahar,2016,1,21.45575693406853
