province,year,month,precip_total_mm
Khost,2001,1,21.83661008052886
Paktika,2001,1,20.370647817513177
Daykundi,2001,1,13.75058166941096
Panjsher,2001,1,15.68834474299744
Parwan,2001,1,21.14580909540406
Uruzgan,2001,1,20.64285949417833
Badakhshan,2001,1,20.766527461331943
Badghis,2001,1,41.40905851794163
Baghlan,2001,1,31.928159943058375
Balkh,2001,1,30.34601403348255
Bamyan,2001,1,15.38548504271355
Farah,2001,1,20.925173295538773
Faryab,2001,1,39.69626474853911
Ghazni,2001,1,12.085865870083527
Ghor,2001,1,21.816773447366714
Hilmand,2001,1,14.696725697688244
Hirat,2001,1,40.11987297622357
Jawzjan,2001,1,30.321321443307287
Kabul,2001,1,13.658982616288872
Kandahar,2001,1,13.068995047506938
Kapisa,2001,1,12.53665911430456
Kunar,2001,1,11.481793311924516
Kunduz,2001,1,39.56491016301168
Laghman,2001,1,6.1278970877356995
Logar,2001,1,14.98027742400879
Nangarhar,2001,1,15.282266554035214
Nimroz,2001,1,12.408183459898195
Nuristan,2001,1,9.090868652155677
Paktya,2001,1,25.933454291983388
Samangan,2001,1,32.526022363769464
Sar-e-Pul,2001,1,26.5932157331409
Takhar,2001,1,36.443609935654614
Wardak,2001,1,12.503089122443813
Zabul,2001,1,12.098122629230325
Khost,2001,2,10.967119019029294
Paktika,2001,2,20.668928398922173
Daykundi,2001,2,22.37944997690961
Panjsher,2001,2,33.481258830062764
Parwan,2001,2,38.33789527493499
Uruzgan,2001,2,28.629591009391326
Badakhshan,2001,2,25.626622726049582
Badghis,2001,2,37.63931204486146
Baghlan,2001,2,48.49280760592236
Balkh,2001,2,36.72298971523129
Bamyan,2001,2,25.63745411326919
Farah,2001,2,15.914736809546364
Faryab,2001,2,47.24653002328979
Ghazni,2001,2,15.990688824781964
Ghor,2001,2,19.26619941877709
Hilmand,2001,2,28.185655337565173
Hirat,2001,2,23.38657048200939
Jawzjan,2001,2,27.67527792731312
Kabul,2001,2,18.582179164201378
Kandahar,2001,2,39.941882234975495
Kapisa,2001,2,26.702067702102493
Kunar,2001,2,11.47766281713021
Kunduz,2001,2,40.43968844852283
Laghman,2001,2,11.866180937679019
Logar,2001,2,17.863960962988305
Nangarhar,2001,2,12.617550771276994
Nimroz,2001,2,16.619832687886657
Nuristan,2001,2,16.33359376584592
Paktya,2001,2,13.3888218917708
Samangan,2001,2,51.96759281076298
Sar-e-Pul,2001,2,47.29987004075849
Takhar,2001,2,47.791796959862026
Wardak,2001,2,15.153355003478149
Zabul,2001,2,48.60669865167769
Khost,2001,3,49.861894205800404
Paktika,2001,3,31.19915728500681
Daykundi,2001,3,38.15686994992934
Panjsher,2001,3,105.57262716808411
Parwan,2001,3,112.37699821041689
Uruzgan,2001,3,52.9579985777022
Badakhshan,2001,3,42.84132366697859
Badghis,2001,3,60.876625122304915
Baghlan,2001,3,109.32822433149917
Balkh,2001,3,45.82092838738492
Bamyan,2001,3,50.3852589272425
Farah,2001,3,20.237241027819977
Faryab,2001,3,61.535655393311124
Ghazni,2001,3,43.239064543453374
Ghor,2001,3,36.19246221434764
Hilmand,2001,3,22.827018547852617
Hirat,2001,3,41.07844777711726
Jawzjan,2001,3,38.88236154151636
Kabul,2001,3,89.79423319111316
Kandahar,2001,3,31.781876216804527
Kapisa,2001,3,93.51227570056265
Kunar,2001,3,70.24854868820982
Kunduz,2001,3,73.2809122251639
Laghman,2001,3,68.81107112015853
Logar,2001,3,74.34810020743754
Nangarhar,2001,3,60.63078923176001
Nimroz,2001,3,10.800278619384187
Nuristan,2001,3,68.20052996173808
Paktya,2001,3,67.91378845353034
Samangan,2001,3,92.1625625259451
Sar-e-Pul,2001,3,76.77200147321506
Takhar,2001,3,96.56550394916053
Wardak,2001,3,62.79790311433418
Zabul,2001,3,41.37904025906877
