province,year,month,vv_db,vh_db
Khost,2015,2,-9.675610386929838,-17.560665362003604
Paktika,2015,2,,
Daykundi,2015,2,,
Panjsher,2015,2,,
Parwan,2015,2,,
Uruzgan,2015,2,,
Badakhshan,2015,2,-8.93271106517921,-16.014010965509787
Badghis,2015,2,-6.686535220735711,-17.724477215108266
Baghlan,2015,2,,
Balkh,2015,2,,
Bamyan,2015,2,,
Farah,2015,2,-12.383421351788341,-21.481077318681596
Faryab,2015,2,,
Ghazni,2015,2,,
Ghor,2015,2,,
Hilmand,2015,2,,
Hirat,2015,2,-12.498064393502684,-21.870771663369005
Jawzjan,2015,2,,
Kabul,2015,2,,
Kandahar,2015,2,,
Kapisa,2015,2,,
Kunar,2015,2,-8.333675503152673,-16.351192710374075
Kunduz,2015,2,,
Laghman,2015,2,-10.126730485651333,-18.474885268120282
Logar,2015,2,,
Nangarhar,2015,2,-9.137689669525798,-17.73390650439165
Nimroz,2015,2,-13.412223716268494,-22.88897071342885
Nuristan,2015,2,-8.737486364537066,-15.770079816591322
Paktya,2015,2,,
Samangan,2015,2,,
Sar-e-Pul,2015,2,,
Takhar,2015,2,-40.51298523070463,-47.825242703464205
Wardak,2015,2,,
Zabul,2015,2,,
Khost,2015,1,,
Paktika,2015,1,,
Daykundi,2015,1,,
Panjsher,2015,1,,
Parwan,2015,1,,
Uruzgan,2015,1,,
Badakhshan,2015,1,,
Badghis,2015,1,,
Baghlan,2015,1,,
Balkh,2015,1,,
Bamyan,2015,1,,
Farah,2015,1,,
Faryab,2015,1,,
Ghazni,2015,1,,
Ghor,2015,1,,
Hilmand,2015,1,,
Hirat,2015,1,,
Jawzjan,2015,1,,
Kabul,2015,1,,
Kandahar,2015,1,,
Kapisa,2015,1,,
Kunar,2015,1,,
Kunduz,2015,1,,
Laghman,2015,1,,
Logar,2015,1,,
Nangarhar,2015,1,,
Nimroz,2015,1,,
Nuristan,2015,1,,
Paktya,2015,1,,
Samangan,2015,1,,
Sar-e-Pul,2015,1,,
Takhar,2015,1,,
Wardak,2015,1,,
Zabul,2015,1,,
Khost,2015,3,-8.085168311943802,-16.57159481852018
Paktika,2015,3,-12.071603527674297,-21.128865683953457
Daykundi,2015,3,-8.766728709470923,-17.236829644735085
Panjsher,2015,3,-8.345381645366917,-15.204803042195607
Parwan,2015,3,-8.605433709130587,-17.135144502582985
Uruzgan,2015,3,-8.939985950780416,-17.501649274550473
Badakhshan,2015,3,-7.888042671265075,-15.672582106869113
Badghis,2015,3,-9.58002114942624,-19.24044211069709
Baghlan,2015,3,-9.199427851454958,-17.917417699064732
Balkh,2015,3,-12.864279969600172,-22.14464306069934
Bamyan,2015,3,-10.249729387464129,-18.540887563413172
